Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,AdjORtg,AdjDRtg,AdjNRtg
224,Bowling Green State,MAC,,20,13,73.5,70.8,2.73,,-5.48,,-2.52,-2.28,-4.8,99.91,107.02,-7.12
225,Iona,MAAC,,16,17,71.3,70.6,0.76,,-5.7,,-3.63,-1.31,-4.94,101.72,108.45,-6.73
226,UTSA,AAC,,11,21,77.6,81,-3.38,,-0.42,,4.76,-9.73,-4.97,105.48,112.26,-6.78
227,Kansas City,Summit,,16,16,71.9,69.3,2.59,,-4.16,,-4.64,-0.35,-4.98,98.77,105.82,-7.05
228,Lamar,Southland,,19,14,77.8,72.9,4.91,,-7.84,,-0.72,-4.32,-5.04,102.8,109.23,-6.42
229,Cal State Bakersfield,Big West,,13,19,68.7,69.2,-0.47,,-1.87,,-6.44,1.37,-5.07,99.41,107.17,-7.76
230,San Diego,WCC,,18,15,72.5,77.3,-4.79,,0.55,,-0.4,-4.69,-5.09,100.07,106.3,-6.23
231,Eastern Kentucky,A-Sun,,17,14,80.8,76.5,4.29,,-4.19,,-0.06,-5.05,-5.11,103.81,110.45,-6.64
232,Marshall,Sun Belt,,13,20,73.8,76.7,-2.91,,-1.09,,-1.64,-3.48,-5.12,99,105.7,-6.69
233,Merrimack,NEC,,21,12,69.2,65.4,3.76,,-8.33,,-7.85,2.71,-5.13,94.5,101.73,-7.23
234,Columbia,Ivy,,13,14,77,72.4,4.52,,-3.53,,-0.29,-4.95,-5.24,104.07,110.97,-6.9
235,Austin Peay,A-Sun,,19,15,74.9,72.9,2,,-4.25,,-2.02,-3.23,-5.25,105.3,113.01,-7.71
236,Tennessee-Martin,OVC,,21,11,81.5,76.7,4.81,,-7.02,,4.97,-10.31,-5.34,103.21,111.02,-7.81
237,Green Bay,Horizon,,18,14,69,69,0.06,,-3.8,,-7.02,1.66,-5.36,101.37,109.14,-7.77
238,Marist,MAAC,,18,13,64.6,62.2,2.45,,-7.84,,-10.92,5.54,-5.39,95.13,102.19,-7.07
239,Rider,MAAC,,15,17,72.2,72.1,0.03,,-4,,-2.34,-3.12,-5.45,100.86,108.36,-7.5
240,Radford,Big South,,16,17,72,71.5,0.48,,-3.3,,-4.55,-0.94,-5.49,104.15,111.96,-7.81
241,Southern Mississippi,Sun Belt,,16,16,69.9,71,-1.16,,-2.63,,-4.47,-1.17,-5.63,99.04,106.88,-7.83
242,South Alabama,Sun Belt,,16,16,74,75.7,-1.69,,-3.09,,-1.43,-4.21,-5.64,102.16,109.91,-7.75
243,Southern Utah,WAC,,10,21,75,77.6,-2.58,,-1.17,,0.8,-6.52,-5.72,103.42,110.96,-7.54
244,North Dakota,Summit,,18,14,75.3,71.9,3.38,,-5.78,,-2.99,-2.92,-5.92,101.72,110.28,-8.56
245,Northeastern,CAA,,12,20,69.4,72.3,-2.94,,-2.99,,-3.95,-1.99,-5.93,102.98,111.58,-8.6
246,Florida Gulf Coast,A-Sun,,14,18,70.4,71.1,-0.72,,-3.63,,-7.14,1.16,-5.98,101.34,109.74,-8.41
247,New Hampshire,AEC,,16,15,74.1,74.1,0.03,,-3.51,,-1.63,-4.41,-6.04,97.92,105.87,-7.94
248,Maine,AEC,,15,17,67.6,67.5,0.16,,-4.67,,-9.31,3.12,-6.19,95.05,103.72,-8.67
249,Miami (OH),MAC,,15,17,70.6,70,0.56,,-3.84,,-5.35,-0.85,-6.21,98.59,107.02,-8.43
250,Norfolk State,MEAC,,22,11,74.3,67.6,6.7,,-7.62,,-5.04,-1.24,-6.28,100.6,109.28,-8.68
251,Mount St. Mary's,MAAC,,13,19,72.7,71.8,0.91,,-7.22,,-1.86,-4.46,-6.31,99.77,108.89,-9.12
252,DePaul,Big East,,3,29,64.7,81.8,-17.03,,10.69,,-2.68,-3.67,-6.34,101.93,110.84,-8.9
253,The Citadel,Southern,,11,21,70.6,71.5,-0.91,,-2.81,,-5.87,-0.57,-6.43,100.57,109.96,-9.39
254,Albany (NY),AEC,,13,19,78.7,78.8,-0.13,,-5.09,,3.76,-10.24,-6.48,102.47,111.31,-8.84
255,Ball State,MAC,,15,16,73.5,71,2.58,,-5.72,,-3.44,-3.04,-6.48,101.26,110.53,-9.28
256,North Florida,A-Sun,,16,16,78,75.8,2.16,,-4.54,,-0.89,-5.75,-6.64,105.24,113.74,-8.5
257,Nicholls State,Southland,,20,14,73.9,73.9,-0.06,,-4.88,,-1.89,-4.76,-6.65,101.16,109.98,-8.81
258,Portland State,Big Sky,,17,15,71.9,71.8,0.09,,-4.49,,-3.94,-2.76,-6.7,96.36,105.14,-8.78
259,North Alabama,A-Sun,,15,17,76.5,76.1,0.38,,-4.61,,-0.67,-6.11,-6.78,102.89,112.31,-9.42
260,Omaha,Summit,,15,18,74,72.8,1.12,,-4.68,,-2.85,-4.14,-6.99,101.98,111.5,-9.53
261,Denver,Summit,,17,17,81,80.5,0.53,,-4.46,,4.61,-11.63,-7.02,105.17,115.1,-9.93
262,Idaho State,Big Sky,,14,20,70.5,70.1,0.41,,-4.66,,-6.02,-1.02,-7.04,101.13,110.89,-9.77
263,Oral Roberts,Summit,,12,19,73.4,75.3,-1.9,,-2.27,,-2.38,-4.72,-7.09,102.06,112.19,-10.14
264,Middle Tennessee,CUSA,,14,19,65.7,70.3,-4.61,,-0.3,,-7.9,0.66,-7.23,95.52,105.94,-10.42
265,North Dakota State,Summit,,15,17,74.6,73.9,0.69,,-2.83,,-2.57,-4.67,-7.25,102.45,113.11,-10.67
266,Lehigh,Patriot,,14,18,72.7,71,1.69,,-6.41,,-1.62,-5.66,-7.28,97.86,108.28,-10.42
267,Canisius,MAAC,,14,18,70.4,72.1,-1.72,,-4.64,,-5.54,-2.16,-7.71,98.39,109.68,-11.29
268,Kennesaw State,A-Sun,,15,16,82.8,80.8,2.06,,-5.53,,5.29,-13,-7.71,101.91,112.34,-10.43
269,North Carolina Central,MEAC,,18,13,76.6,69,7.61,,-8.68,,-3.48,-4.24,-7.72,101.79,112.6,-10.81
270,Florida International,CUSA,,11,22,73.6,76.5,-2.91,,-1.93,,-1.26,-6.51,-7.77,99.29,109.89,-10.6
271,Central Michigan,MAC,,18,14,66.5,70.1,-3.59,,-3.36,,-8.38,0.54,-7.84,95.04,106.16,-11.12
272,Portland,WCC,,12,21,71.5,79.5,-7.94,,1.72,,-1.79,-6.23,-8.02,102.29,113.68,-11.39
273,Old Dominion,Sun Belt,,7,25,70.9,77,-6.13,,-1.26,,-3,-5.03,-8.03,97.87,108.83,-10.96
274,Presbyterian,Big South,,14,18,74.7,72.8,1.84,,-5.48,,-3.96,-4.07,-8.03,100.33,111.63,-11.3
275,Central Connecticut State,NEC,,20,11,72.2,66.5,5.68,,-10.05,,-5.79,-2.26,-8.05,98.67,109.81,-11.14
276,Utah Tech,WAC,,11,20,70.8,77.1,-6.29,,-1.19,,-2.42,-5.67,-8.09,97.62,108.48,-10.86
277,Bucknell,Patriot,,14,19,65.2,67.2,-1.94,,-6.17,,-7.86,-0.25,-8.11,97.48,109.18,-11.71
278,Georgia Southern,Sun Belt,,9,24,73.3,79.2,-5.91,,-2.24,,-0.63,-7.52,-8.15,101.39,112.84,-11.45
279,Niagara,MAAC,,16,16,72.5,72.1,0.38,,-6.96,,-2.89,-5.26,-8.15,101.9,113.39,-11.48
280,Valparaiso,MVC,,7,25,67.6,75.5,-7.91,,1.26,,-5.25,-2.91,-8.16,97.94,109.19,-11.25
281,New Mexico State,CUSA,,13,19,67.7,72.4,-4.75,,1.03,,-6.49,-1.83,-8.33,98.47,110.81,-12.34
282,Howard,MEAC,,18,16,75.1,74.4,0.76,,-7.84,,-1.07,-7.36,-8.44,102.89,114.69,-11.8
283,Western Illinois,OVC,,21,12,68.8,65.7,3.18,,-7.09,,-10.17,1.7,-8.47,94.62,106.31,-11.7
284,Queens (NC),A-Sun,,14,19,80.1,81.6,-1.52,,-3.23,,2.25,-10.73,-8.49,100.81,112.27,-11.46
285,Maryland-Baltimore County,AEC,,11,21,78.7,80.7,-2.06,,-5.76,,3.78,-12.28,-8.5,101.4,113.06,-11.65
286,Southern,SWAC,,18,14,71.1,68.7,2.41,,-6.01,,-7.47,-1.19,-8.66,95.51,106.79,-11.28
287,American,Patriot,,16,16,68.8,68,0.75,,-8.6,,-7.19,-1.57,-8.76,102.25,115.26,-13.01
288,SIU Edwardsville,OVC,,17,16,71.5,70.1,1.39,,-7.28,,-5.75,-3.06,-8.81,98.06,110.57,-12.51
289,Northern Illinois,MAC,,11,20,73.2,77.4,-4.19,,-1.17,,-2.21,-6.76,-8.97,99.72,112.64,-12.92
290,Western Michigan,MAC,,12,20,71.3,74.9,-3.59,,-3.55,,-3.81,-5.25,-9.06,97.92,111.02,-13.11
291,Texas Southern,SWAC,,16,16,70.2,70.8,-0.59,,-7.3,,-7.17,-1.91,-9.08,94.62,107.12,-12.51
292,South Carolina Upstate,Big South,,10,20,71,72.9,-1.93,,-2.78,,-5.6,-3.51,-9.12,97.35,110.36,-13.01
293,Binghamton,AEC,,15,15,72.1,72.2,-0.13,,-5.06,,-5.09,-4.05,-9.13,98.47,111.16,-12.69
294,Robert Morris,Horizon,,10,22,72.7,75.8,-3.09,,-4.06,,-3.61,-5.72,-9.33,99.97,113.2,-13.23
295,Tennessee State,OVC,,18,15,72.7,71,1.73,,-7.41,,-5.29,-4.12,-9.41,96.49,109.65,-13.16
296,Jacksonville,A-Sun,,16,17,71.8,72.4,-0.55,,-4.56,,-7.53,-2,-9.53,97.89,110.51,-12.62
297,Chicago State,Ind,,12,18,69.1,70.2,-1.1,,-2.98,,-9.75,0.03,-9.72,94.78,109.1,-14.32
298,Louisiana-Monroe,Sun Belt,,11,19,69.9,74.4,-4.57,,-2.13,,-6.18,-3.55,-9.73,97.56,111.64,-14.08
299,Boston University,Patriot,,16,17,66.5,66.6,-0.15,,-8.3,,-8.48,-1.26,-9.74,94.89,108.9,-14.02
300,Sacred Heart,NEC,,16,16,74.1,72.3,1.84,,-9.35,,-3.21,-6.6,-9.82,98.12,111.61,-13.49
301,Grambling,SWAC,,20,14,67.6,69,-1.44,,-6.43,,-9.97,-0.2,-10.17,95.56,109.67,-14.11
302,Coastal Carolina,Sun Belt,,9,22,73.5,78.5,-4.97,,-2.6,,-3.12,-7.07,-10.19,97.58,111.78,-14.2
303,Sacramento State,Big Sky,,10,24,67.1,70.4,-3.29,,-3.23,,-10.63,0.25,-10.38,95.65,111.34,-15.69
304,Campbell,CAA,,14,18,71,72.1,-1.09,,-5.48,,-5.89,-4.56,-10.45,97.56,112.62,-15.06
305,Delaware State,MEAC,,15,18,70.8,70.8,-0.03,,-7.85,,-7.3,-3.16,-10.46,92.97,107.58,-14.61
306,Southeastern Louisiana,Southland,,15,17,69,71,-1.94,,-5.69,,-9.32,-1.54,-10.86,96.27,110.91,-14.64
307,Wagner,NEC,,16,15,63.5,62.1,1.45,,-9.52,,-14.7,3.84,-10.87,93.02,108.37,-15.35
308,Idaho,Big Sky,,11,21,67.8,71.2,-3.38,,-4.28,,-8.83,-2.05,-10.88,96.67,112.66,-15.99
309,Le Moyne,NEC,,15,17,72.4,70.2,2.28,,-9.42,,-6.08,-4.86,-10.94,97.61,112.94,-15.33
310,Lafayette,Patriot,,11,21,62.8,67.3,-4.5,,-5.79,,-11.4,0.45,-10.95,90.67,106.37,-15.7
311,William & Mary,CAA,,10,23,69.8,72.1,-2.27,,-5.36,,-6.56,-4.58,-11.14,98.87,115.2,-16.33
312,Elon,CAA,,13,19,73.1,75.4,-2.31,,-5.27,,-4.42,-6.82,-11.24,99.55,115.65,-16.1
313,Eastern Illinois,OVC,,14,18,68.9,67.9,1,,-6.18,,-9.24,-2.05,-11.29,93.33,109.74,-16.41
314,Bellarmine,A-Sun,,8,23,69.5,74.8,-5.39,,-2.11,,-8.24,-3.19,-11.43,97.04,113.51,-16.47
315,Navy,Patriot,,13,18,66.5,66.7,-0.23,,-9.3,,-9.65,-1.81,-11.47,93.67,110.71,-17.05
316,Jackson State,SWAC,,15,17,71.2,75.6,-4.34,,-7.14,,-4.77,-6.72,-11.49,97.05,112.76,-15.7
317,Alcorn State,SWAC,,14,18,71.9,77.4,-5.53,,-5.62,,-3.48,-8.11,-11.59,102.5,118.17,-15.67
318,Alabama State,SWAC,,13,19,68.6,69.4,-0.81,,-6.87,,-10.02,-1.71,-11.73,89.17,105.29,-16.12
319,South Carolina State,MEAC,,14,18,70.2,74.7,-4.53,,-6.08,,-5.85,-5.9,-11.75,95.46,110.93,-15.47
320,Northern Arizona,Big Sky,,14,19,68.6,76.6,-8,,-3.86,,-6.25,-5.61,-11.86,94.72,111.7,-16.98
321,Charleston Southern,Big South,,10,20,67.6,73.7,-6.07,,-1.43,,-9.92,-1.96,-11.88,92.96,109.91,-16.95
322,Bethune-Cookman,SWAC,,17,16,72.5,72.2,0.39,,-9.1,,-5.62,-6.54,-12.17,93.79,110.71,-16.92
323,South Dakota,Summit,,12,20,76.1,79.2,-3.16,,-5.09,,-1.18,-11.05,-12.23,100.04,117.12,-17.09
324,Eastern Michigan,MAC,,13,18,66,72.6,-6.61,,-4.84,,-9.29,-3.24,-12.53,94.58,112.54,-17.97
325,Cal Poly,Big West,,4,28,63.7,74.1,-10.44,,-1.91,,-10.05,-3.21,-13.27,92.16,111.69,-19.53
326,Texas-Rio Grande Valley,WAC,,6,25,70.4,79.8,-9.42,,-0.87,,-4.6,-8.75,-13.35,92.93,111.05,-18.13
327,Southern Indiana,OVC,,8,24,68.6,73,-4.38,,-5.41,,-7.36,-6.09,-13.45,93.03,111.91,-18.88
328,Dartmouth,Ivy,,6,21,61.9,71.9,-10,,-1.15,,-13.03,-0.8,-13.83,90.5,110.94,-20.44
329,Northwestern State,Southland,,9,23,70.5,75.9,-5.38,,-5.87,,-7.34,-6.64,-13.97,94.62,114.04,-19.42
330,Texas A&M-Commerce,Southland,,13,20,71.5,74.6,-3.06,,-4.69,,-9,-5.02,-14.02,91.68,111.72,-20.05
331,FDU,NEC,,15,17,75.9,77.6,-1.63,,-9.19,,-2.54,-11.79,-14.32,94.41,113.99,-19.58
332,Army,Patriot,,10,22,60.3,64.3,-4.03,,-8.72,,-15.57,1.11,-14.46,88.81,110.62,-21.81
333,NJIT,AEC,,7,21,67.9,75,-7.11,,-4.31,,-9.17,-5.33,-14.5,94.4,115.03,-20.63
334,Alabama A&M,SWAC,,11,22,68.7,75.8,-7.09,,-7.57,,-7.65,-7.02,-14.66,90.64,110.49,-19.86
335,Tennessee Tech,OVC,,10,21,67.4,73.8,-6.45,,-6.04,,-10.53,-4.26,-14.79,92.61,113.86,-21.25
336,Buffalo,MAC,,4,27,68,79.7,-11.71,,-2.58,,-7.07,-7.81,-14.88,93.58,114.32,-20.74
337,Manhattan,MAAC,,7,23,66.2,75.8,-9.67,,-4.66,,-7.97,-7.1,-15.07,92.53,113.57,-21.05
338,Central Arkansas,A-Sun,,9,23,72.2,78.2,-6.03,,-5.27,,-5.81,-9.52,-15.34,94.35,115.64,-21.3
339,Prairie View,SWAC,,10,21,70.2,76.4,-6.19,,-6.91,,-7.22,-8.18,-15.4,91.69,112.64,-20.95
340,Arkansas-Pine Bluff,SWAC,,13,18,80.1,81.8,-1.71,,-7.66,,0.1,-15.72,-15.62,98.87,119.82,-20.95
341,Hampton,CAA,,9,24,71.8,76.4,-4.58,,-5.11,,-7.1,-8.54,-15.64,92.06,114.02,-21.96
342,Florida A&M,SWAC,,6,23,67.2,77.2,-10.03,,-4.14,,-9.32,-6.45,-15.77,90.94,113.09,-22.15
343,Morgan State,MEAC,,11,20,72.7,77.5,-4.81,,-5.72,,-4.82,-11.08,-15.89,93,115.44,-22.43
344,Loyola (MD),Patriot,,7,25,64,71.9,-7.88,,-6.73,,-11.26,-4.7,-15.96,90.68,113.96,-23.28
345,Incarnate Word,Southland,,8,23,72.3,78.6,-6.32,,-7.53,,-5.9,-10.12,-16.02,94.2,115.85,-21.66
346,North Carolina A&T,CAA,,7,25,65.6,77.9,-12.38,,-3.78,,-8.05,-8.11,-16.16,93.33,116.28,-22.96
347,New Orleans,Southland,,10,23,73.5,79.5,-5.91,,-5.44,,-4.32,-12.02,-16.34,94.48,116.66,-22.18
348,Detroit Mercy,Horizon,,1,31,66,80.3,-14.28,,-2.43,,-9.13,-7.58,-16.71,93.64,117.65,-24.02
349,Holy Cross,Patriot,,10,23,66.5,74.6,-8.12,,-7.68,,-8.1,-8.83,-16.93,96.42,121.07,-24.65
350,Pacific,WCC,,6,26,64.7,79.8,-15.06,,0.06,,-8.17,-9.03,-17.21,92.52,117.6,-25.09
351,Maryland-Eastern Shore,MEAC,,9,20,65.2,70.6,-5.38,,-6.26,,-12.62,-4.65,-17.26,87.03,111.94,-24.91
352,Long Island University,NEC,,7,22,66.5,76.8,-10.28,,-7.44,,-8.46,-9.26,-17.72,89.28,113.7,-24.42
353,Southeast Missouri State,OVC,,9,22,67,73.5,-6.45,,-6.3,,-10.62,-7.39,-18,89.07,114.35,-25.28
354,Lindenwood,OVC,,9,22,65.1,73.1,-7.97,,-6.93,,-11.81,-6.62,-18.43,89.3,115.38,-26.08
355,Saint Francis (PA),NEC,,8,22,65.2,72.7,-7.53,,-8.02,,-12.3,-6.18,-18.48,90.7,117.58,-26.88
356,Houston Christian,Southland,,6,23,71.5,83.4,-11.93,,-3.41,,-5.43,-13.46,-18.89,92.33,117.13,-24.8
357,Siena,MAAC,,4,28,60.4,74.4,-14,,-4.93,,-14.42,-4.52,-18.93,86.76,114.15,-27.39
358,Stonehill,NEC,,4,27,63.5,76.1,-12.68,,-6.02,,-11.88,-8.14,-20.02,88.66,116.31,-27.64
359,VMI,Southern,,4,28,68.9,82.6,-13.75,,-2.23,,-6.59,-13.85,-20.44,86.8,113.74,-26.94
360,IUPUI,Horizon,,6,26,65.9,79.8,-13.94,,-4.41,,-11.8,-9.3,-21.1,89.68,120.25,-30.57
361,Coppin State,MEAC,,2,27,57.9,72.8,-14.97,,-6.42,,-17.57,-3.81,-21.38,81.74,112.43,-30.69
362,Mississippi Valley State,SWAC,,1,30,55.5,77.7,-22.26,,-3.9,,-19.35,-6.81,-26.16,81.85,120.66,-38.81
